id_klientit,emri,mosha,gjinia,ka_veture,ka_shtepi,numri_femijeve,te_ardhurat_neto_vjetore,numri_diteve_te_punesuar,lloji_profesionit,numri_anetarve_familjes,punetor_migrant,pagesat_vjetore_te_borxhit,limiti_kreditit,perdorimi_limitit_kreditit(%),piket_kreditit,mospagesat_meparshme,mospagesa_6_muajt_fundit,mospagesa_kreditit
21920,Ali Kerciku,29,M,Jo,Po,0.0,109862.62,2771.0,Punëtorë të thjeshtë,2.0,Jo,15329.53,37745.19,52,857.0,0,Jo,Jo
15179,Santiago Xhihani,46,M,Jo,Po,0.0,107934.04,612.0,Panjohur,1.0,Po,33070.28,18690.93,73,544.0,2,Po,Po
9330,Valter Nico,37,M,Jo,Po,0.0,230153.17,204.0,Punëtorë të thjeshtë,2.0,Jo,48416.6,41598.36,43,650.0,0,Jo,Jo
28288,Veledin Cani,39,M,Jo,Po,0.0,122325.82,11941.0,Staf qëndror,2.0,Jo,22574.36,32627.76,20,754.0,0,Jo,Jo
51355,Marko Bora,46,M,Po,Po,0.0,387286.0,1459.0,Staf qëndror,1.0,Jo,38282.95,52950.64,75,927.0,0,Jo,Jo
23268,Ylli Gjini,46,M,Po,Jo,0.0,252765.91,2898.0,Kontabilist,2.0,Po,37046.86,40245.64,19,937.0,0,Jo,Jo
27502,Philippe Coutinho,38,M,Jo,Po,1.0,262389.2,5541.0,Stafi i teknologjisë së lartë,3.0,Jo,50839.39,41311.08,42,733.0,0,Jo,Jo
51722,Samuel Durres,46,M,Po,Po,1.0,241211.39,1448.0,Staf qëndror,3.0,Jo,30008.46,32209.22,91,906.0,0,Jo,Jo
33768,Aldorin Shtjefanaku,40,M,,Po,0.0,210091.43,11551.0,Punëtorë të thjeshtë,2.0,Jo,21521.89,65037.74,14,783.0,0,Jo,Jo
11670,Kejda Simoni,39,F,Po,Po,2.0,207109.13,2791.0,Stafi i teknologjisë së lartë,4.0,Jo,9509.1,28425.52,14,666.0,0,Jo,Jo
53773,Arjan Andrea,32,M,Jo,Po,0.0,79102.33,2252.0,Panjohur,2.0,Po,8074.63,13615.21,58,781.0,0,Jo,Jo
42986,Fortet Terko,52,M,Po,Jo,1.0,158933.98,817.0,Staf i shitjeve,3.0,Jo,19942.29,39126.06,41,889.0,0,Jo,Jo
47654,Danjeli Mikel,39,M,Jo,Po,0.0,68421.1,365247.0,Panjohur,2.0,Jo,13781.53,17110.01,72,643.0,1,Po,Po
65186,Sallon Bukurie Iden,52,F,Po,Jo,0.0,125141.5,2215.0,Staf i shitjeve,2.0,Jo,65673.47,38854.6,40,909.0,0,Jo,Jo
14892,Ornela Cani,43,F,Po,Po,0.0,368556.71,5522.0,Menaxher,2.0,Jo,74286.97,122481.96,41,874.0,0,Jo,Jo
6781,Defrim Qose,37,M,Jo,Jo,0.0,746959.12,2229.0,Panjohur,2.0,Jo,16834.71,188438.82,63,666.0,0,Jo,Jo
19686,Nardi Belli,24,M,Jo,Po,0.0,145522.37,8058.0,Stafi i teknologjisë së lartë,1.0,Jo,26365.91,29476.68,77,763.0,0,Jo,Jo
7195,Aldo Moro,41,M,Jo,Jo,2.0,110975.59,2384.0,Punëtorë të thjeshtë,4.0,Po,16634.19,24027.62,87,582.0,1,Po,Po
62929,Florenc Zeqo,34,M,Jo,Po,0.0,198608.52,4627.0,Staf qëndror,2.0,Jo,61155.24,31554.66,84,699.0,0,Jo,Po
19824,Mira Mlloja Lekaj,50,F,Jo,Jo,1.0,86956.02,192.0,Staf qëndror,3.0,Jo,34644.51,14726.33,97,753.0,0,Jo,Jo
44202,Ferat Ducellari,24,M,Jo,Po,0.0,123082.75,729.0,Staf i shitjeve,2.0,Jo,19625.83,42005.38,74,710.0,0,Jo,Jo
51332,Joe Kidd,36,M,Jo,Po,,253922.42,433.0,Panjohur,2.0,Jo,51044.13,60924.47,19,651.0,0,Jo,Jo
5226,Valter Kozeli,42,M,Po,Jo,2.0,136743.6,3342.0,Menaxher,4.0,Po,15990.33,47053.67,69,893.0,0,Jo,Jo
9578,Hyqmet Plaka,23,M,Jo,Po,2.0,217697.92,4057.0,Shofer,4.0,Jo,27509.83,48384.25,84,519.0,2,Jo,Po
19972,Musa Sallja,37,M,Jo,Po,0.0,95256.28,7768.0,Punëtorë të thjeshtë,2.0,Jo,11543.09,34545.88,19,895.0,0,Jo,Jo
38824,Altin Halili,50,M,Jo,Po,2.0,170618.43,2996.0,Staf mjekësor,3.0,Jo,21476.67,26919.68,83,801.0,0,Jo,Jo
44927,Ardian Gjinaj,27,M,Po,Po,1.0,118499.04,733.0,Punëtorë të thjeshtë,3.0,Jo,9830.79,27462.45,83,880.0,0,Jo,Jo
43579,Shbpr Rpdsh,27,M,Jo,Po,0.0,154638.7,10188.0,Staf qëndror,2.0,Jo,52954.56,20249.08,50,943.0,0,Jo,Jo
15589,Marjana Martini Koka,23,F,Po,Po,0.0,229423.56,3978.0,Punëtorë të thjeshtë,2.0,Jo,36998.7,25435.02,28,795.0,0,Jo,Jo
49142,Arber Koboci,26,M,Po,Jo,0.0,172067.42,365251.0,Panjohur,2.0,Jo,24199.23,22155.88,49,886.0,0,Jo,Jo
59518,Elida Lida,27,F,Jo,Po,0.0,133374.38,1142.0,Staf i shitjeve,2.0,Po,29558.32,16962.2,98,832.0,0,Jo,Jo
32881,Fatos Ismaili,23,M,Jo,Jo,1.0,99199.53,387.0,Panjohur,3.0,Jo,16130.89,17474.98,36,823.0,0,Jo,Jo
19708,Faik Alushaj,32,M,Po,Jo,0.0,206413.69,365247.0,Panjohur,2.0,Jo,22419.59,74423.73,72,766.0,0,Jo,Jo
6117,Erald Jes Ku,32,M,Po,Jo,0.0,152418.94,1851.0,Panjohur,2.0,Jo,37194.56,17749.23,99,904.0,0,Jo,Jo
43621,Mon Cheri,30,F,Jo,Po,0.0,224495.72,564.0,Staf i shitjeve,2.0,Jo,23289.01,70967.55,23,919.0,0,Jo,Jo
24692,Daniel Zykollari,35,M,Jo,Po,1.0,156486.8,976.0,Staf qëndror,3.0,Jo,67136.81,27020.25,3,922.0,0,Jo,Jo
3397,Ilmi Skura Skura,46,M,Po,Po,0.0,71277.0,125.0,Staf i shitjeve,2.0,Po,25201.22,13851.29,63,673.0,0,Jo,Jo
57798,Edlon Tabaku,48,M,Po,Po,0.0,359555.12,1289.0,Panjohur,2.0,Jo,41878.34,83571.96,8,738.0,0,Jo,Jo
60156,Arnold Qystri,48,M,Jo,Po,0.0,128362.79,3537.0,Staf qëndror,2.0,Jo,15151.82,46066.92,30,684.0,0,Jo,Jo
37097,Papuli Papuli,53,M,Jo,Jo,0.0,112168.78,2136.0,Staf pastrimi,2.0,Jo,38577.08,23394.54,77,851.0,0,Jo,Jo
56606,Brikena Ena,47,F,,Po,0.0,229370.35,352.0,Staf i shitjeve,2.0,Jo,35347.36,27213.73,87,733.0,0,Jo,Jo
16941,Romeo Ibrushi,32,M,Jo,Po,1.0,200755.45,1847.0,Punëtorë të thjeshtë,3.0,Po,25418.57,43699.79,10,695.0,0,Jo,Jo
65874,Alma Alma,28,F,Jo,Jo,0.0,128100.65,2908.0,Panjohur,2.0,Jo,20549.92,25796.37,61,902.0,0,Jo,Jo
